様式 2-2. (空調)外壁構成入力シート,,,,,,
,,,,,,　　　　　　　　　※ 建材名称は室内側から記入
①,②,③,④,⑤,⑥,⑦
,,,,,,
外壁名称,壁の種類,熱貫流率,建材番号,建材名称,厚み,備考
,,,,,,
,,,,,,
,,[W/㎡K],,,[mm],
,(選択),,(選択),(選択),,
,,,,,,
R1,外壁,,,室内側,,
,,,70,ロックウール化粧吸音板,12,
,,,62,せっこうボード,10,
,,,302,非密閉中空層,,
,,,41,コンクリート,150,
,,,47,セメント・モルタル,15,
,,,103,アスファルト類,5,
,,,47,セメント・モルタル,15,
,,,181,押出法ポリスチレンフォーム　保温板　1種,50,
,,,41,コンクリート,60,
,,,,室外側,,
W1,外壁,,,室内側,,
,,,62,せっこうボード,8,
,,,302,非密閉中空層,,
,,,181,押出法ポリスチレンフォーム　保温板　1種,25,
,,,41,コンクリート,150,
,,,47,セメント・モルタル,25,
,,,67,タイル,10,
,,,,,,
,,,,,,
,,,,,,
,,,,室外側,,
FG1,接地壁,,,室内側,,
,,,101,ビニル系床材  ,3,
,,,47,セメント・モルタル,27,
,,,41,コンクリート,150,
,,,22,土壌,,
